sex,typ,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100
0,11,0.229,0.23,0.242,0.24,0.258,0.279,0.303,0.32,0.335,0.352,0.37,0.389,0.409,0.443,0.481,0.515,0.58,0.636,0.69,0.742,0.819,0.862,0.913,0.949,0.988,0.997,1.007,0.999,0.994,0.991,0.997,1,0.991,1.008,1.005,0.982,0.96,0.967,0.958,0.975,1,1.019,1.037,1.055,1.064,1.068,1.081,1.094,1.084,1.073,1.067,1.068,1.056,1.087,1.068,1.067,1.057,1.056,0.994,0.993,0.985,0.961,0.94,0.939,0.919,0.91,0.906,0.894,0.887,0.888,0.865,0.843,0.816,0.804,0.771,0.724,0.74,0.737,0.714,0.713,0.709,0.642,0.621,0.567,0.508,0.489,0.489,0.489,0.489,0.489,0.489,0.489,0.489,0.489,0.489,0.489,0.489,0.489,0.489,0.489,0.489
0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.11294,0.11765,0.08088,0.10294,0.11002,0.11765,0.15,0.17647,0.20441,0.23616,0.26618,0.28824,0.33382,0.40294,0.48382,0.52941,0.61324,0.68529,0.76471,0.86912,0.95147,1,1.08235,1.16176,1.22059,1.29412,1.36029,1.41176,1.45588,1.52941,1.57353,1.63676,1.70588,1.72941,1.76029,1.8,1.83088,1.86176,1.88235,1.91176,1.93382,1.97059,1.975,2.01471,2.04559,2.10735,2.13824,2.15882,2.17647,2.17647,2.16912,2.13824,2.08676,1.99559,1.92353,1.85147,1.79412,1.72941,1.66765,1.63235,1.54412,1.49412,1.45294,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.11294,0.11765,0.08088,0.10294,0.11002,0.11765,0.15,0.17647,0.20441,0.23616,0.26618,0.28824,0.33382,0.40294,0.48382,0.52941,0.61324,0.68529,0.76471,0.86912,0.95147,1,1.08235,1.16176,1.22059,1.29412,1.36029,1.41176,1.45588,1.52941,1.57353,1.63676,1.70588,1.72941,1.76029,1.8,1.83088,1.86176,1.88235,1.91176,1.93382,1.97059,1.975,2.01471,2.04559,2.10735,2.13824,2.15882,2.17647,2.17647,2.16912,2.13824,2.08676,1.99559,1.92353,1.85147,1.79412,1.72941,1.66765,1.63235,1.54412,1.49412,1.45294,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02,0.04,0.1,0.18,0.22,0.305,0.38719,0.42972,0.472,0.51379,0.55492,0.59522,0.63454,0.67275,0.70975,0.74543,0.77973,0.81258,0.84395,0.87378,0.90209,0.92885,0.95407,0.97778,1,1.02077,1.04014,1.05816,1.07489,1.09041,1.10479,1.11809,1.13041,1.14184,1.15246,1.16236,1.17162,1.18035,1.18863,1.19654,1.20417,1.21161,1.21893,1.22619,1.23348,1.24085,1.24835,1.25603,1.26392,1.27205,1.28044,1.28909,1.298,1.30714,1.31648,1.32597,1.33554,1.34513,1.35463,1.36393,1.37288,1.38135,1.38916,1.39612,1.40201,1.40659,1.40962,1.41079,1.40979,1.40632,1.40632,1.40632,1.40632,1.40632,1.40632,1.40632,1.40632,1.40632,1.40632,1.40632,1.40632,1.40632,1.40632,1.40632,1.40632
0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001,0.003,0.003,0.014,0.022,0.037,0.059,0.101,0.144,0.206,0.266,0.311,0.402,0.485,0.581,0.672,0.776,0.828,0.838,0.824,0.844,0.894,0.9,1,1.078,1.123,1.116,1.17,1.137,1.148,1.142,1.18,1.2,1.264,1.273,1.284,1.291,1.269,1.327,1.333,1.345,1.387,1.399,1.34,1.313,1.335,1.292,1.302,1.302,1.323,1.3,1.285,1.291,1.323,1.333,1.334,1.341,1.297,1.324,1.343,1.357,1.411,1.421,1.283,1.125,1.12,0.93,0.906,0.746,0.746,0.746,0.746,0.746,0.746,0.746,0.746,0.746,0.746,0.746,0.746,0.746,0.746,0.746,0.746
0,16,1.99503,1.99503,1.99503,1.99503,1.99503,1.99503,1.99503,1.99503,1.99503,1.99503,1.99503,1.99503,1.99503,1.99503,1.99503,1.99503,1.99503,1.99503,1.99503,1.99503,1.99503,1.99503,1.99503,1.99503,1.99503,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1.65041,1.65041,1.65041,1.65041,1.65041,1.65041,1.65041,1.65041,1.65041,1.65041,1.65041,1.65041,1.65041,1.65041,1.65041,1.65041,1.65041,1.65041,1.65041,1.65041,1.65041,1.65041,1.65041,1.65041,1.65041,1.65041,1.65041,1.65041,1.65041,1.65041,1.65041,1.65041,1.65041,1.65041,1.65041,1.65041
0,17,1.99503,1.99503,1.99503,1.99503,1.99503,1.99503,1.99503,1.99503,1.99503,1.99503,1.99503,1.99503,1.99503,1.99503,1.99503,1.99503,1.99503,1.99503,1.99503,1.99503,1.99503,1.99503,1.99503,1.99503,1.99503,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1.65041,1.65041,1.65041,1.65041,1.65041,1.65041,1.65041,1.65041,1.65041,1.65041,1.65041,1.65041,1.65041,1.65041,1.65041,1.65041,1.65041,1.65041,1.65041,1.65041,1.65041,1.65041,1.65041,1.65041,1.65041,1.65041,1.65041,1.65041,1.65041,1.65041,1.65041,1.65041,1.65041,1.65041,1.65041,1.65041
1,1,0.03033,0.07909,0.13304,0.17834,0.23925,0.3151,0.38113,0.44123,0.53336,0.63825,0.76576,0.87763,1.02789,1.22856,1.36936,1.58914,1.88903,2.09019,0.5928,0.07237,0.06429,0.06994,0.08048,0.08904,0.09841,0.14225,0.15431,0.17625,0.18904,0.21082,0.27865,0.33053,0.37662,0.43109,0.48534,0.48912,0.51936,0.54207,0.59284,0.63367,0.64051,0.68294,0.66436,0.7773,0.88034,0.83429,0.84408,0.92851,0.99514,1.0271,0.91424,0.96814,1.06491,1.06715,1.15916,1.25355,1.37991,1.39223,1.50085,1.57164,3.62423,4.45135,16.3829,21.16377,22.79911,27.95128,30.48256,30.60202,31.48878,34.14546,36.46125,33.59688,36.57716,36.84389,38.3049,38.21105,38.29708,37.69223,37.64124,37.0056,35.77953,36.29171,37.79414,38.07625,37.84168,35.30019,35.30019,35.30019,35.30019,35.30019,35.30019,35.30019,35.30019,35.30019,35.30019,35.30019,35.30019,35.30019,35.30019,35.30019,35.30019
1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00524,0.00524,0.00524,0.00524,0.00524,0.01682,0.01682,0.01682,0.01682,0.01682,0.02302,0.02302,0.02302,0.02302,0.02302,0.02921,0.02921,0.02921,0.02921,0.02921,0.03835,0.03835,0.03835,0.03835,0.03835,0.03835,0.03835,0.03835,0.03835,0.03835,0.05377,0.05377,0.05377,0.05377,0.05377,0.09334,0.09334,0.09334,0.09334,0.09334,0.13656,0.13656,0.13656,0.13656,0.13656,0.84525,0.84525,0.84525,0.84525,0.84525,1.11155,1.11155,1.11155,1.11155,1.11155,1.34096,1.34096,1.34096,1.34096,1.34096,1.50101,1.50101,1.50101,1.50101,1.50101,1.37092,1.37092,1.37092,1.37092,1.37092,1.37092,1.37092,1.37092,1.37092,1.37092,1.37092,1.37092,1.37092,1.37092,1.37092,1.37092
1,3,0.33083,0.14564,0.14564,0.14564,0.14564,0.14564,0.1279,0.1279,0.1279,0.1279,0.1279,0.1279,0.1279,0.1279,0.1279,0.34198,0.34198,0.34198,0.34198,0.34198,0.34198,0.43179,0.43179,0.43179,0.43179,0.43179,0.43179,0.43179,0.43179,0.43179,0.43179,0.43179,0.43179,0.43179,0.43179,0.43179,0.43179,0.43179,0.43179,0.43179,0.43179,0.43179,0.43179,0.43179,0.43179,0.91652,0.91652,0.91652,0.91652,0.91652,0.91652,0.91652,0.91652,0.91652,0.91652,0.91652,0.91652,0.91652,0.91652,0.91652,0.91652,0.91652,0.91652,0.91652,0.91652,0.76531,0.76531,0.76531,0.76531,0.76531,0.76531,0.76531,0.76531,0.76531,0.76531,1.23759,1.23759,1.23759,1.23759,1.23759,1.23759,1.23759,1.23759,1.23759,1.23759,1.91579,1.91579,1.91579,1.91579,1.91579,1.91579,1.91579,1.91579,1.91579,1.91579,1.91579,1.91579,1.91579,1.91579,1.91579,1.91579
