sex,year,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100
0,2017,1751757,1769199,1787054,1804038,1819430,1832781,1842601,1850354,1856841,1863800,1872434,1883583,1897733,1914893,1934904,1957356,1981919,2008772,2038260,2071306,2108694,2150659,2196478,2233116,2276260,2311356,2323394,2285054,2229027,2196509,2185113,2182792,2153446,2146571,2166681,2145094,2124069,2077048,2001134,1963031,1914571,1886160,1876169,1869832,1931794,2046895,2111393,2075579,2023371,2015417,2044419,2111326,2191148,2231215,2251085,2253167,2242085,2211609,2174677,2149806,2079255,2004849,1944575,1863642,1790597,1703121,1625635,1565679,1508255,1519730,1322964,1095217,1070096,1057944,978335,852711,776549,717122,666291,604293,546771,508046,455394,401521,363619,332735,302087,263608,228365,193864,158783,130859,106405,83437,65179,49984,36244,24180,17292,11598,20581
0,2018,1734365,1753651,1773439,1792526,1810160,1825798,1837667,1847019,1854487,1861012,1868253,1877230,1888580,1902846,1920020,1940001,1962531,1987197,2014548,2045024,2079343,2118293,2161150,2207498,2244192,2287004,2321404,2332816,2293742,2236868,2203368,2190653,2187347,2157140,2149471,2168814,2146541,2124848,2077236,2000840,1962187,1913234,1884364,1873993,1867389,1928925,2043410,2107378,2071259,2018695,2010148,2038338,2104148,2182622,2221331,2239746,2240295,2227690,2195858,2157610,2131300,2059591,1983849,1921692,1838806,1763505,1674027,1594683,1532965,1474083,1482461,1287924,1063661,1036273,1021167,940928,816854,740573,680492,628769,566798,509427,469915,417927,365370,327821,296873,266613,229906,196611,164588,132788,107681,86060,66256,50775,38186,27150,17763,12461,21843
0,2019,1715431,1736282,1757900,1778918,1798654,1816532,1830686,1842088,1851155,1858661,1865467,1873051,1882231,1893698,1907983,1925135,1945201,1967840,1993009,2021352,2053103,2088988,2128834,2172222,2218614,2254982,2297085,2330829,2341435,2301481,2243658,2208874,2195193,2190977,2160028,2151659,2170234,2147297,2124942,2076756,1999891,1960698,1911335,1882145,1871531,1864733,1925845,2039667,2103021,2066495,2013506,2004314,2031607,2096185,2173157,2210345,2227156,2226124,2212036,2178845,2139282,2111368,2038249,1960761,1896342,1811269,1733671,1642467,1561702,1498589,1438353,1443487,1251044,1030398,1000636,982494,901703,779364,703107,642541,590125,528453,471562,431612,380639,329725,292800,262313,232817,198207,167168,137866,109462,87260,68481,51730,38884,28680,20001,12839,23368
0,2020,1694939,1717374,1740544,1763387,1785052,1805032,1821424,1835110,1846225,1855330,1863118,1870268,1878056,1887355,1898844,1913111,1930354,1950536,1973683,1999846,2029467,2062787,2099572,2139951,2183387,2229439,2265104,2306539,2339446,2349098,2308163,2249093,2213382,2198813,2193802,2162206,2153134,2170951,2147349,2124340,2075586,1998268,1958625,1909003,1879637,1868855,1861863,1922504,2035575,2098203,2061203,2007751,1997843,2024121,2087324,2162619,2198131,2213282,2210700,2195119,2160567,2119532,2089730,2014780,1935175,1868227,1780935,1701301,1608832,1527040,1462638,1400975,1402478,1212190,995336,963141,941925,860682,740304,664269,603431,550579,489543,433491,393454,343836,294812,259011,229347,200989,168775,140253,113847,88872,69580,53587,39711,29280,21187,14500,24734
0,2021,1690471,1696907,1721646,1746039,1769527,1791433,1809926,1825848,1839247,1850400,1859787,1867918,1875273,1883183,1892508,1903983,1918348,1935713,1956409,1980553,2007996,2039188,2073410,2110731,2151159,2194257,2239594,2274600,2315187,2347107,2355697,2313481,2253524,2216967,2201628,2195915,2163670,2153905,2170953,2146686,2123021,2073712,1996042,1956108,1906380,1876915,1865960,1858726,1918818,2031032,2092858,2055349,2001377,1990644,2015776,2077439,2150886,2184654,2198167,2194020,2176933,2140860,2098076,2065921,1988757,1906784,1837246,1748011,1666794,1573474,1490780,1425018,1361623,1359278,1171243,958426,923784,899481,817930,699794,624222,563381,510418,450385,395522,355751,307751,261086,226739,198259,171394,141827,116020,92607,71010,54567,41235,29980,21690,15405,26916
0,2022,1684280,1692449,1701187,1727147,1752184,1775912,1796330,1814354,1829989,1843424,1854858,1864588,1872924,1880402,1888340,1897656,1909234,1923726,1941609,1963307,1988733,2017750,2049847,2084607,2121980,2162073,2204457,2249122,2283291,2322883,2353708,2360930,2317791,2257032,2219748,2203731,2197313,2164426,2153952,2170220,2145281,2120969,2071208,1993361,1953295,1903542,1873973,1862801,1855259,1914709,2025988,2086959,2048873,1994279,1982600,2006439,2066403,2137919,2169957,2181809,2176079,2157316,2119441,2074454,2039510,1959869,1875482,1803606,1712901,1630510,1536474,1452821,1385396,1320142,1313748,1128140,919659,882581,855226,773574,658000,583184,522676,469965,411294,357963,318745,272850,228833,196264,169310,144255,117523,94551,74144,55811,42089,31210,22269,15817,29119
0,2023,1676627,1686271,1696735,1706695,1733297,1758572,1780811,1800759,1818496,1834167,1847882,1859660,1869595,1878054,1885563,1893497,1902921,1914632,1929647,1948535,1971518,1998519,2028443,2061080,2095893,2132934,2172316,2214032,2257848,2291034,2329522,2358942,2365147,2321169,2259731,2221817,2205120,2198000,2164449,2153250,2168719,2143117,2118261,2068230,1990381,1950275,1900498,1870786,1859332,1851399,1910139,2020420,2080441,2041662,1986334,1973578,1995989,2054181,2123759,2154037,2164203,2156717,2135988,2095850,2048238,2010183,1928012,1841486,1767727,1675975,1592534,1497729,1412828,1343613,1276397,1265814,1082869,879052,839595,809287,727790,615145,541443,481637,429542,372584,321055,282910,239432,198336,167846,142723,119738,95952,75852,58400,43149,31936,23245,16286,30996
0,2024,1667802,1678632,1690563,1702247,1712851,1739690,1763475,1785244,1804904,1822676,1838628,1852687,1864671,1874731,1883222,1890727,1898771,1908331,1920570,1936595,1956771,1981334,2009244,2039711,2072403,2106885,2143218,2181935,2222808,2265631,2297725,2334797,2363162,2368431,2323737,2261723,2223180,2205803,2197947,2163709,2151765,2166433,2140276,2115067,2064958,1987210,1947068,1897228,1867309,1855487,1847101,1905077,2014255,2073181,2033587,1977411,1963467,1984402,2040825,2108414,2136899,2145200,2135661,2112489,2069657,2019111,1977830,1893401,1805214,1729983,1637319,1552757,1456899,1370641,1299533,1230316,1215461,1035447,836663,794946,761841,680815,571522,499322,440587,389472,334506,285272,248554,207791,169857,141707,118665,97939,77128,59873,45255,32822,23849,17049,32703
0,2025,1658129,1669823,1682931,1696080,1708407,1719249,1744599,1767912,1789392,1809088,1827139,1843434,1857699,1869809,1879904,1888395,1896013,1904196,1914287,1927538,1944855,1966612,1992088,2020542,2051067,2083430,2117206,2152878,2190758,2230644,2272363,2303054,2339057,2366445,2370902,2325600,2263014,2223840,2205741,2197110,2162162,2149474,2163447,2136940,2111587,2061515,1983875,1943657,1893687,1863469,1851213,1842328,1899448,2007369,2065046,2024518,1967405,1952246,1971727,2026338,2091889,2118393,2124524,2112448,2086382,2040540,1986961,1942669,1856464,1767048,1690465,1596821,1510832,1413819,1326120,1253080,1181881,1162702,985935,792608,748802,713129,632964,527464,457148,399853,350017,297545,250924,215984,178203,143623,118016,97236,78879,61009,46502,34509,24576,17541,34517
0,2026,1647880,1660165,1674129,1688452,1702243,1714809,1724163,1749041,1772064,1793578,1813553,1831946,1848447,1862841,1874987,1885083,1893689,1901450,1910167,1921273,1935818,1954720,1977390,2003413,2031928,2062127,2093788,2126907,2161747,2198646,2237434,2277733,2307369,2342385,2368922,2372671,2326765,2263601,2223743,2204875,2195434,2159782,2146471,2159964,2133333,2107963,2057937,1980360,1939990,1889790,1859205,1846468,1837009,1893141,1999645,2055919,2014360,1956307,1939972,1957973,2010728,2074034,2098245,2101715,2086644,2057347,2008387,1952007,1905137,1817594,1727082,1649054,1554127,1466586,1368342,1279184,1204232,1131101,1107601,934461,747049,701393,663471,584597,483310,415256,359701,311675,262023,218319,185485,150907,119807,96877,78464,62525,47491,35546,25906,18126,36217
0,2027,1637288,1649931,1664475,1679654,1694618,1708646,1719723,1728608,1753197,1776254,1798046,1818363,1836965,1853595,1868027,1880176,1890388,1899137,1907434,1917168,1929571,1945704,1965524,1988744,2014828,2043018,2072517,2103524,2135815,2169681,2205489,2242864,2282094,2310761,2344916,2370709,2373754,2327229,2263422,2222825,2203148,2192899,2156678,2142978,2156230,2129610,2104231,2054199,1976599,1935969,1885467,1854470,1841180,1831039,1886052,1990976,2045707,2003102,1944167,1926645,1943138,1993842,2054579,2076001,2076340,2057926,2025268,1973418,1914686,1865634,1776882,1685190,1605387,1509055,1419862,1320377,1229803,1152993,1078034,1050293,881209,700210,653025,613236,536086,439409,373922,320636,274781,228261,187746,157307,126087,98520,78324,62324,48780,36389,26753,19160,37916
