age,sex,year,pop,tva,tipp,cot,irpp,impot,property,chomage,retraite,revsoc,maladie,educ,grth,dsct
74,0,2007,214085.0,22661.895426,6788.50709787,3040.03410668,16467.03913,5824.70448532,9482.22442114,0.0,120003.253655,5049.97244756,24066.7909431,0.0,1.0,1.0
75,0,2007,202974.0,22238.8693895,5939.32961653,3904.17795543,16520.7044041,6300.51710016,9458.10009094,0.0,119622.290945,4328.88325637,24613.7615771,0.0,1.0,1.0
76,0,2007,197587.0,21818.5137306,5943.47073284,1625.56154668,15721.5119058,6254.18535929,8818.84568234,0.0,118527.244112,4536.56215472,25160.732211,0.0,1.0,1.0
77,0,2007,180094.0,19600.5569419,5504.75246903,1663.3414012,12652.8055067,6275.49414831,8156.0855161,0.0,115209.013192,3408.54563637,25707.7028449,0.0,1.0,1.0
78,0,2007,169979.0,19037.3190144,5926.14320477,2025.77700438,12305.1009903,6504.59616987,8054.48721281,0.0,111667.774322,3408.54563637,26254.6734788,0.0,1.0,1.0
79,0,2007,157377.0,18730.2119466,6380.18274154,1838.10027577,9292.50804779,6487.16424168,8135.00025983,0.0,105753.263485,3408.54563637,26801.6441128,0.0,1.0,1.0
80,0,2007,147912.0,18637.9712355,6089.6015534,1589.35044328,9704.65818753,6153.2475223,8484.43997252,0.0,105552.423754,2957.36023775,27348.625128,0.0,1.0,1.0
81,0,2007,136711.0,18348.4299243,6577.46449354,1633.3944833,10021.1205563,5544.62220871,7915.53250523,0.0,100284.124724,3408.54563637,27895.5957619,0.0,1.0,1.0
82,0,2007,121780.0,15518.656193,4631.38846781,950.782186366,10403.1552687,5222.85670542,8117.15130352,0.0,102515.808088,3408.54563637,28442.5663959,0.0,1.0,1.0
83,0,2007,111868.0,14620.9859286,4273.29765276,1794.77028799,10033.6257614,4916.40805635,7671.95835007,0.0,96203.9226683,3672.44281408,28989.5370298,0.0,1.0,1.0
84,0,2007,101504.0,14686.174555,3746.21842693,1373.96632423,9442.93217277,4598.6542208,7792.62482517,0.0,99595.046993,3408.54563637,29536.5076637,0.0,1.0,1.0
85,0,2007,93024.0,17023.4924357,3828.9635894,1460.40992033,9389.33644931,4683.85683728,6994.62138677,0.0,97459.7890996,3408.54563637,30083.4782976,0.0,1.0,1.0
86,0,2007,83221.0,16057.2802064,3807.17771666,1406.46651981,9389.33644931,4514.77643086,6723.61488289,0.0,93789.9372177,3408.54563637,30630.4593129,0.0,1.0,1.0
87,0,2007,42336.0,13698.0187892,2958.35175864,1406.46651981,9389.33644931,4375.32100534,6723.61488289,0.0,86870.2600803,3408.54563637,31177.4299468,0.0,1.0,1.0
88,0,2007,30866.0,11598.7469611,4764.22999173,1406.46651981,9389.33644931,3792.58326725,6723.61488289,0.0,80449.6974278,3408.54563637,31724.4005807,0.0,1.0,1.0
89,0,2007,22846.0,12815.872228,4629.81947343,1830.33225299,9389.33644931,3765.29648899,6723.61488289,0.0,79867.2397308,3408.54563637,32271.3712146,0.0,1.0,1.0
90,0,2007,17722.0,10782.2944175,4629.81947343,1880.22935752,9389.33644931,3765.29648899,6723.61488289,0.0,78490.6728841,3408.54563637,32818.3418486,0.0,1.0,1.0
91,0,2007,16781.0,10244.4148315,4629.81947343,1169.23889381,9389.33644931,3765.29648899,6723.61488289,0.0,77728.7474641,3408.54563637,32818.3418486,0.0,1.0,1.0
92,0,2007,20175.0,10244.4148315,4629.81947343,1169.23889381,9389.33644931,3765.29648899,6723.61488289,0.0,77716.3928434,3408.54563637,32818.3418486,0.0,1.0,1.0
93,0,2007,15396.0,10244.4148315,4629.81947343,1169.23889381,9389.33644931,3765.29648899,6723.61488289,0.0,77716.3928434,3408.54563637,32818.3418486,0.0,1.0,1.0
94,0,2007,11068.0,10244.4148315,4629.81947343,1169.23889381,9389.33644931,3765.29648899,6723.61488289,0.0,77716.3928434,3408.54563637,32818.3418486,0.0,1.0,1.0
95,0,2007,7379.0,10244.4148315,4629.81947343,1169.23889381,9389.33644931,3765.29648899,6723.61488289,0.0,77716.3928434,3408.54563637,32818.3418486,0.0,1.0,1.0
96,0,2007,5252.0,10244.4148315,4629.81947343,1169.23889381,9389.33644931,3765.29648899,6723.61488289,0.0,77716.3928434,3408.54563637,32818.3418486,0.0,1.0,1.0
97,0,2007,3287.0,10244.4148315,4629.81947343,1169.23889381,9389.33644931,3765.29648899,6723.61488289,0.0,77716.3928434,3408.54563637,32818.3418486,0.0,1.0,1.0
98,0,2007,2101.0,10244.4148315,4629.81947343,1169.23889381,9389.33644931,3765.29648899,6723.61488289,0.0,77716.3928434,3408.54563637,32818.3418486,0.0,1.0,1.0
99,0,2007,1238.0,10244.4148315,4629.81947343,1169.23889381,9389.33644931,3765.29648899,6723.61488289,0.0,77716.3928434,3408.54563637,32818.3418486,0.0,1.0,1.0
