sex,age,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012
0,85,53844,55516,56443,60093,61366,64196,62980,69062,69816,69898,46968,38580,41614,47198,55875,94910,94176,92894,93028,94931,99337,101038
0,86,44193,46570,48126,48717,52228,53299,56006,55220,60346,61200,61316,41277,34122,36601,42006,49292,84322,83875,82995,83097,85069,89419
0,87,36490,37659,39895,41085,41945,44939,45775,48363,47780,51872,53118,53167,35669,29719,32042,36772,42997,74008,73908,73188,73521,75381
0,88,30210,30466,31713,33453,34636,35326,37873,38872,40909,40417,44238,45317,45424,30252,25687,27535,31486,37320,64032,64221,63825,64199
0,89,23366,24761,25080,26185,27708,28681,29262,31346,32306,33978,33759,37115,38141,37928,25542,21791,23414,26909,31785,54759,55022,54897
0,90,16858,18896,20110,20320,21425,22618,23409,23890,25656,26286,27890,27774,30532,31114,31530,21217,18159,19675,22592,26403,45891,46464
0,91,12422,13331,15082,16028,16281,17155,18028,18629,19206,20388,20993,22377,22385,24339,25474,25461,17133,14680,15923,18421,21506,37857
0,92,8661,9527,10375,11608,12604,12724,13441,14033,14518,14956,15922,16431,17527,17479,19477,20300,20524,13600,11718,12705,14658,17105
0,93,6091,6488,7135,7969,8903,9580,9619,10355,10804,11064,11445,12284,12468,13377,13640,15125,15647,16152,10853,8956,9790,11237
0,94,4158,4525,4731,5084,5992,6670,7105,7178,7795,8074,8293,8527,9124,9207,10264,10274,11281,11921,12434,8111,6678,7268
0,95,2325,2955,3276,3343,3597,4431,4923,5146,5285,5697,5947,6208,6308,6577,6826,7550,7484,8250,8644,9322,5962,4802
0,96,1661,1613,2084,2264,2376,2493,3179,3615,3688,3729,4103,4256,4495,4384,4697,4805,5338,5372,5960,6073,6677,4096
0,97,1099,1148,1100,1467,1549,1566,1639,2239,2684,2588,2576,2863,2956,3132,3066,3187,3366,3716,3820,4001,3985,4543
0,98,622,742,785,718,1007,994,1049,1082,1613,1844,1754,1707,1922,1944,2191,1949,2178,2246,2513,2483,2488,2476
0,99,490,410,504,509,476,662,608,682,716,1117,1262,1169,1151,1218,1344,1490,1258,1430,1482,1525,1477,1341
0,100,467,591,584,649,743,780,875,888,958,980,1316,1708,1868,1960,2103,2334,2443,2140,2238,2220,2196,1980
1,0,379319,378518,370754,355103,355311,364215,364878,361651,366547,369731,384619,383317,377643,377523,378844,382399,390493,385472,389674,400533,404792,402391
1,1,379358,376728,375572,367874,352368,353097,361186,362793,358699,367521,370422,385832,383994,378164,377166,378848,383486,392468,387560,388545,399423,403787
1,2,383016,381258,378271,376859,369253,353682,354448,362181,364074,360449,369368,372254,387964,385634,379712,377923,380516,385245,394193,387413,388387,399278
1,3,383078,383240,381473,378439,376842,369188,353415,354647,361573,366290,362604,371646,374613,390622,387886,381892,381186,383914,388266,394649,387921,388870
1,4,388872,384335,384273,382642,379575,377661,369875,354046,355613,363835,368613,364861,374028,377136,393525,390376,385119,384611,386110,388885,395261,388570
1,5,384960,389918,385281,385123,383659,380575,378211,370606,354576,357334,365832,370660,366821,376144,379534,396246,393478,386747,387250,386497,389306,395655
1,6,380851,385574,390606,386022,385796,384484,381312,378757,371218,356466,359109,367889,372748,368895,378498,382134,398979,395575,389510,387742,386991,389798
1,7,374714,381626,385807,391067,386406,386144,384973,381867,379113,373238,358405,361000,370004,374914,371154,381024,385148,401286,397165,390112,388357,387591
1,8,399559,375709,382681,386534,391973,387294,386942,386141,383047,380995,375302,360430,362973,372172,377248,373460,382909,387539,403489,397973,390925,389178
1,9,403771,400328,376716,383827,387353,392900,388157,387927,387531,385271,382861,377385,362465,364984,374568,379574,375258,384110,388557,404452,398935,391898
1,10,405111,403687,399840,376607,383798,387008,392720,387902,387900,390369,387558,384852,379598,364681,367290,376935,381150,377322,385246,389764,405682,400147
1,11,382943,405284,403777,399697,376773,384063,386964,392944,388569,391190,393100,389818,386890,381896,367073,369475,379373,382390,379204,386538,391082,407001
1,12,374913,384278,406282,404717,400278,377502,384791,387441,393707,391417,394328,395820,392096,389043,384401,369382,371844,380724,384167,380512,387854,392410
1,13,378061,375730,385148,406990,405376,400610,378120,385544,388292,396296,394049,397316,398478,394390,391308,386727,370474,373295,382985,385405,381789,389121
1,14,368949,379019,376833,386335,407862,406178,401056,378868,386575,391316,399391,397109,400706,401559,397540,393424,389082,371320,374080,384117,386577,382990
1,15,382468,369917,380131,378192,387703,408952,407078,401943,380117,388340,394381,402543,400340,404057,404835,400588,395274,390277,373484,375338,385435,387932
1,16,408833,383075,371187,381604,379912,389408,410280,408803,403610,382100,390267,397660,406021,403268,407750,408094,402983,399173,394583,374872,376792,386943
1,17,438189,408970,384038,372414,382591,380405,389939,410739,409474,404994,383843,392040,400755,408733,406458,411128,408990,406070,402825,395459,375852,377809
1,18,449518,438331,409096,384243,372642,382470,380113,389841,410612,410098,406310,385539,393879,403676,412162,409657,411373,409625,406271,403458,396170,376590
1,19,452386,448771,437507,408538,383329,371647,381405,378798,388663,410978,410256,407012,386609,395398,406240,414751,408813,410338,408496,406319,403622,396366
1,20,441020,450949,447470,435842,407191,381779,370298,380046,377307,387896,411211,410175,407542,387641,396038,408027,411644,405854,406579,407884,405850,403175
1,21,437543,439929,450098,446484,434338,406218,380739,369425,379106,376834,387625,411750,410515,408156,388452,396665,403847,406703,401520,405993,407495,405477
1,22,430969,436105,437906,448065,444207,432165,404765,379551,368499,378941,376696,387677,412577,410893,408864,389290,394953,401279,403963,401091,405776,407298
1,23,429191,430295,435209,436379,446181,442487,430408,404131,379088,368923,379330,377276,388263,413701,411692,409880,387960,394407,400014,403911,401258,406015
1,24,441051,428807,429909,434057,434478,444395,440999,429136,404766,379572,369760,380256,378283,389067,415017,412580,410113,386179,393909,400325,404474,401947
1,25,443183,441229,428987,429646,432920,433089,443330,440422,428972,404884,380427,370968,381483,379409,390168,416599,413056,410340,385813,394294,400988,405288
1,26,451801,444033,442737,429835,429670,432633,432598,443292,440844,429713,405614,381944,372626,383008,380908,391697,418257,413226,410955,386339,395083,401915
1,27,449569,453294,445383,443880,430371,429701,432450,432526,443664,442074,431246,407091,383957,374858,385221,383099,393955,420023,415961,411843,387497,396374
1,28,437583,450458,454807,446307,444592,430920,429988,432967,433022,444905,444187,433690,409402,386642,377496,388444,385087,396425,421723,417599,413673,389496
1,29,444212,439499,452872,457077,447692,445847,431861,430810,433535,435310,446713,447003,436685,412220,390035,380766,391224,387994,398979,423964,420080,416287
1,30,443496,445454,441031,454442,458642,448917,447148,433455,432259,435701,437895,449027,450067,440070,415419,393440,383744,394240,390228,401439,426628,422866
1,31,445807,444756,447163,442543,455762,460019,449770,448386,434379,434784,437853,440775,451412,453292,443530,418255,396845,386335,397200,392616,404045,428957
1,32,438112,446884,445850,448259,443468,456755,461187,450833,449551,436514,437084,440009,443488,453698,456223,446237,421603,399246,387674,399068,394675,405942
